"Name","Number of raw reads","Classified reads","Chordate reads","Artificial reads","Unclassified reads","Microbial reads","Bacterial reads","Viral reads","Fungal reads","Protozoan reads"
"porechoped_A_16S01","158","93%","82.3%","0%","6.96%","10.8%","10.8%","0%","0%","0%"
"porechoped_A_16S02","34,175","98.6%","10.9%","0%","1.37%","87.8%","87.6%","0%","0%","0%"
"porechoped_A_16S03","1,984","97.4%","13.2%","0%","2.62%","84.2%","84.1%","0%","0%","0%"
"porechoped_A_16S04","11,495","91.1%","90%","0%","8.94%","1.03%","0.191%","0%","0%","0%"
"porechoped_A_16S05","413","90.6%","56.7%","0%","9.44%","33.9%","32.4%","0%","0%","0%"
"porechoped_A_16S06","39,124","99%","8.2%","0%","1.01%","90.8%","90.7%","0%","0%","0%"
"porechoped_A_16S07","352","92.9%","52.6%","0%","7.1%","40.3%","39.5%","0%","0%","0%"
"porechoped_A_16S08","25,140","99.6%","0.0796%","0%","0.386%","99.5%","99.5%","0%","0%","0%"
"porechoped_A_16S09","22,478","99.6%","1.98%","0%","0.449%","97.6%","97.6%","0%","0%","0%"
"porechoped_A_16S10","457","89.7%","88.6%","0%","10.3%","1.09%","0.875%","0%","0%","0%"
"porechoped_A_16S11","15,293","87.9%","86.2%","0%","12.1%","1.67%","0.222%","0.00654%","0%","0%"
"porechoped_A_16S12","21,415","97.2%","19.3%","0%","2.8%","77.9%","77.6%","0%","0%","0%"
"porechoped_B_16S01","3,091","87.9%","46.2%","0%","12.1%","41.7%","40.7%","0%","0%","0%"
"porechoped_B_16S02","36,520","81.8%","73.5%","0%","18.2%","8.35%","6.85%","0.00548%","0%","0%"
"porechoped_B_16S03","7,210","81.6%","78.8%","0%","18.4%","2.84%","1.03%","0%","0%","0%"
"porechoped_B_16S04","5,693","86%","82%","0%","14%","3.88%","2.53%","0%","0%","0%"
"porechoped_B_16S05","185","97.8%","20.5%","0%","2.16%","77.3%","77.3%","0%","0%","0%"
"porechoped_B_16S06","3,113","99.2%","2.15%","0%","0.835%","97%","97%","0%","0%","0%"
"porechoped_B_16S07","36,418","99.6%","0.796%","0%","0.376%","98.8%","98.8%","0%","0%","0%"
"porechoped_B_16S08","178","96.6%","10.7%","0%","3.37%","86%","86%","0%","0%","0%"
"porechoped_B_16S09","25,413","93.5%","24.3%","0%","6.46%","69.2%","68.7%","0%","0%","0%"
"porechoped_B_16S10","72,657","98.4%","5%","0%","1.62%","93.4%","93.3%","0%","0%","0%"
"porechoped_B_16S11","4,614","79.3%","76%","0%","20.7%","3.25%","1.45%","0%","0%","0%"
"porechoped_B_16S12","1,793","82.2%","80.3%","0%","17.8%","1.9%","0.502%","0%","0%","0%"
"porechoped_C_16S01","10,659","96.8%","0.797%","0%","3.16%","96%","96%","0%","0%","0%"
"porechoped_C_16S02","32,432","96.7%","0.0555%","0%","3.29%","96.7%","96.6%","0%","0%","0%"
"porechoped_C_16S03","23,376","96.7%","0.0599%","0%","3.27%","96.7%","96.6%","0%","0%","0%"
"porechoped_C_16S04","27,737","92.7%","1.13%","0%","7.33%","91.5%","91.5%","0%","0%","0%"
"porechoped_C_16S05","2,056","91.8%","19%","0%","8.22%","72.8%","72.5%","0%","0%","0%"
"porechoped_C_16S06","452","94%","56.4%","0%","5.97%","37.6%","36.3%","0%","0%","0%"
"porechoped_C_16S07","7,021","99.2%","0.0142%","0%","0.812%","99.2%","99.2%","0%","0%","0%"
"porechoped_C_16S08","2,848","99.8%","0.246%","0%","0.176%","99.6%","99.5%","0%","0%","0%"
"porechoped_C_16S09","8,852","98.7%","8.35%","0%","1.3%","90.4%","90.2%","0%","0%","0%"
"porechoped_C_16S10","7,052","99.5%","2.17%","0%","0.525%","97.3%","97.3%","0%","0%","0%"
"porechoped_C_16S11","16,769","99.3%","0.0119%","0%","0.674%","99.3%","99.3%","0%","0%","0%"
"porechoped_C_16S12","10,434","98.6%","0.0958%","0%","1.36%","98.5%","98.5%","0%","0%","0%"
"porechoped_C_2_16S01","8,568","94.5%","37.8%","0%","5.46%","56.7%","56.4%","0%","0%","0%"
"porechoped_C_2_16S02","","","","","","","","","",""
"porechoped_C_2_16S03","48","81.2%","72.9%","0%","18.8%","8.33%","6.25%","0%","0%","0%"
"porechoped_C_2_16S04","56,403","94.4%","88.8%","0%","5.61%","5.58%","5.29%","0%","0%","0%"
"porechoped_C_2_16S05","6","83.3%","50%","0%","16.7%","33.3%","33.3%","0%","0%","0%"
"porechoped_C_2_16S06","305","97.7%","13.4%","0%","2.3%","84.3%","83.9%","0%","0%","0%"
"porechoped_C_2_16S07","117","98.3%","5.13%","0%","1.71%","93.2%","91.5%","0%","0%","0%"
"porechoped_C_2_16S08","4","50%","50%","0%","50%","0%","0%","0%","0%","0%"
"porechoped_C_2_16S09","5,178","88.7%","87.4%","0%","11.3%","1.35%","0.0193%","0%","0%","0%"
"porechoped_C_2_16S10","95","82.1%","81.1%","0%","17.9%","1.05%","1.05%","0%","0%","0%"
"porechoped_C_2_16S11","2,951","97.2%","17.6%","0%","2.81%","79.6%","79.2%","0%","0%","0%"
"porechoped_C_2_16S12","9,946","99.4%","0.0201%","0%","0.623%","99.4%","99.3%","0%","0%","0%"
"porechoped_D_16S01","","","","","","","","","",""
"porechoped_D_16S02","872","92.3%","90.7%","0%","7.68%","1.61%","0.229%","0%","0%","0%"
"porechoped_D_16S03","","","","","","","","","",""
"porechoped_D_16S04","11","90.9%","72.7%","0%","9.09%","18.2%","18.2%","0%","0%","0%"
"porechoped_D_16S05","","","","","","","","","",""
"porechoped_D_16S06","33","97%","18.2%","0%","3.03%","78.8%","78.8%","0%","0%","0%"
"porechoped_D_16S08","","","","","","","","","",""
